"GeneSymbol","Degree"
"GAPDH",39
"SNAP25",24
"SLC17A7",13
"IDH3G",13
"NDUFS7",12
"TOMM22",8
"SARS1",8
"SYT13",5
"CDC37",5
"FIG4",5
"EGR1",5
"CDK7",5
"NUTF2",5
"ATP5F1B",5
"MDH2",4
"ACTB",4
"UNC13A",4
"IDH3A",4
"ATP6V1E1",3
"CDK5",3
