Model,CV_Accuracy_Mean,CV_Accuracy_Std
Random Forest,0.9070075757575757,0.07364575479459344
Support Vector Machine,0.8945075757575758,0.05051743850597311
Logistic Regression,0.8886363636363637,0.06305026362991396
Gradient Boosting,0.8632575757575758,0.05814301400902141
