"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
-1535.38500210984,1862.25408159627,-8.44791920868033,1.71627394617204e-14,1.48379808130051e-11,3.59853858571233,"PRKCZ"
-149.670563768197,156.34491342236,-8.44590479322138,1.73686469507513e-14,1.48379808130051e-11,3.59562342222577,"ELMO1"
-4575.06820586065,5020.12312763975,-8.43424655567265,1.86094040520471e-14,1.56533717930104e-11,3.57875108307248,"DNM1"
-5977.59113106557,7330.5385136646,-8.43006915990239,1.90750852243414e-14,1.57848362295357e-11,3.57270490921596,"ACTB"
-302.354812503279,402.664125614907,-8.42771059507656,1.93431006379313e-14,1.57848362295357e-11,3.56929112468268,"PSIP1"
-3769.35921029508,5242.88952149068,-8.41986829219507,2.02614297614202e-14,1.59735229377679e-11,3.55793964683842,"CYFIP2"
-3637.89132906558,3746.82782434783,-8.41923364370702,2.03376126944617e-14,1.59735229377679e-11,3.55702097808512,"SV2B"
-1568.08654793279,1701.67384307453,-8.41829520572546,2.04507838252172e-14,1.59735229377679e-11,3.55566255708806,"THY1"
-8472.35683918032,11418.0701686957,-8.37385309169118,2.65906953942098e-14,2.04767080377242e-11,3.49131824329572,"GNAS"
-376.908551206557,458.300703416149,-8.36753587252802,2.76006446444176e-14,2.09592395268546e-11,3.48217007124883,"IMPDH2"
-3401.83690218033,3504.72567391304,-8.36333776910536,2.82927721366496e-14,2.11905111859084e-11,3.47609040306814,"DPP6"
-1256.1896796,1045.54129698137,-8.34897453243951,3.07936879160512e-14,2.26357758581794e-11,3.45528813134543,"GNG3"
-330.511480269508,245.512416521739,-8.34756601721623,3.10504469933874e-14,2.26357758581794e-11,3.4532480548692,"ARPC1A"
-207.725023068689,205.348933819876,-8.34384179786032,3.1739619637277e-14,2.26777626969864e-11,3.44785383541709,"ACTR1A"
-6837.96738596722,6766.32331018634,-8.34278681917705,3.19375898979049e-14,2.26777626969864e-11,3.44632575971803,"TUBA1A"
-6723.89088767213,5643.7767357764,-8.33506150222266,3.34251034899269e-14,2.32817255878767e-11,3.43513571811259,"NME7"
-204.008926146721,264.89352947205,-8.33397473807611,3.36398046903019e-14,2.32817255878767e-11,3.43356150029607,"BRD9"
-2754.39005826229,2497.95463283851,-8.33092142201512,3.42503706761293e-14,2.34079877089671e-11,3.42913859292346,"ATP6V1E1"
-973.642252136885,898.264602329193,-8.32838833570044,3.47652450908406e-14,2.34665404363174e-11,3.42546919453689,"GPI"
-934.890292804919,1540.45697720497,-8.31901494278164,3.67381715902768e-14,2.44958479475413e-11,3.41189043278613,"MPRIP"
-5256.65369806885,5005.51852493168,-8.31293268775655,3.80774131071143e-14,2.46366926918877e-11,3.40307889893583,"ALDOA"
-229.188199527869,287.78673836646,-8.31263931922656,3.81432202453348e-14,2.46366926918877e-11,3.40265387834771,"AP2A2"
-211.671407214754,198.760444378882,-8.30845103509353,3.9095119045049e-14,2.46366926918877e-11,3.39658596706177,"GOLGA8A"
-250.152162140984,293.84458678882,-8.30731893896338,3.93564407658935e-14,2.46366926918877e-11,3.39494577679045,"AP2A2"
-642.095094381148,593.786168322981,-8.30663532900917,3.95150770896837e-14,2.46366926918877e-11,3.3939553509512,"PGM2L1"
-146.131935223607,170.309579826087,-8.30604309627281,3.96530216165728e-14,2.46366926918877e-11,3.39309731031298,"RWDD2B"
-3534.96267852459,3252.49609565217,-8.2976832278159,4.16519842658284e-14,2.51766464641891e-11,3.38098497653456,"COPG2IT1"
-1303.69221739672,1218.86965031677,-8.29665961067484,4.19035176633052e-14,2.51766464641891e-11,3.37950184608221,"FIG4"
-320.491839339344,340.413615391304,-8.28659398625304,4.44586531810329e-14,2.63223078336079e-11,3.36491712790521,"NMRAL1"
-747.455573032786,668.544628136646,-8.28403417781543,4.51327447824999e-14,2.63223078336079e-11,3.36120791140033,"MAP6"
-285.682661227049,324.682066652174,-8.28357537893404,4.52546307518819e-14,2.63223078336079e-11,3.36054309585599,"UNC13A"
-95.1029382763935,115.927620018634,-8.26313429615965,5.10296980822905e-14,2.93689341331498e-11,3.33092137312315,"COPG1"
-276.213343622557,259.49896061118,-8.25771573926896,5.26794902831417e-14,3.00026159503206e-11,3.32306859852019,"CHCHD6"
-404.832504985246,469.291196024845,-8.2541879740203,5.37819257104829e-14,3.03147091569139e-11,3.31795589979506,"FAM162A"
-213.735439562295,249.946926857143,-8.24372272003941,5.718883240637e-14,3.19061164471253e-11,3.3027882909951,"FHL2"
-193.141769343114,279.157349322981,-8.24183308235839,5.78264283904946e-14,3.19359593156595e-11,3.30004949030338,"NUTF2"
-117.221370469836,133.293491770186,-8.23482763606781,6.02523355034655e-14,3.29429644365197e-11,3.28989570694585,"AKIRIN2"
-629.25902892623,1039.05292708075,-8.21949299257805,6.59206342910948e-14,3.56852542560951e-11,3.26766821206817,"MPRIP"
-444.04897010164,364.526142173913,-8.21419202036501,6.80006620322602e-14,3.6450354868763e-11,3.25998408891478,"IDH3G"
-253.570057173115,206.369350291925,-8.20623333828394,7.12464072109945e-14,3.78193914005934e-11,3.24844707417032,"NDUFA7"
-3751.55706298361,3878.03141453416,-8.19212007010274,7.73844987271599e-14,4.02845916863633e-11,3.22798727367868,"ATP2A2"
-161.649072093934,144.937621095031,-8.18928560289088,7.86790989804864e-14,4.02845916863633e-11,3.22387803774333,"CCT5"
-157.969918863115,139.130067186335,-8.18898324131631,7.88184599537026e-14,4.02845916863633e-11,3.22343968968925,"ATP1A3"
-187.242839188951,258.88569850559,-8.188941536734,7.88377011511819e-14,4.02845916863633e-11,3.22337922851595,"PPIB"
-4686.83398844754,4904.17796968944,-8.18700751497147,7.97351359137236e-14,4.03659125563226e-11,3.22057537109115,"TUBA1C"
-91.9896071619672,123.805215118012,-8.18058240887916,8.2789931515902e-14,4.15278853727701e-11,3.21126038378054,"WDR70"
-1074.67718177869,1633.54308813665,-8.17650718719156,8.47873630570572e-14,4.21431734104055e-11,3.20535208727142,"SRSF5"
-261.749371747541,448.457185614907,-8.17016230981027,8.79928007909034e-14,4.33423998490328e-11,3.19615303675165,"VPS35L"
-438.89105167377,630.293807888199,-8.16250949968589,9.20192993452774e-14,4.49210284973486e-11,3.18505740528306,"RBM25"
-7807.75997098361,10815.4502043354,-8.15713041012816,9.49583486378329e-14,4.5945554971447e-11,3.17725820654874,"GNAS"
-2417.93185115246,1826.16542329193,-8.15236366911773,9.76405259434531e-14,4.66476519004755e-11,3.17034673762461,"SCN3B"
-2650.82167127869,2196.93561552795,-8.151532627019,9.8115774459162e-14,4.66476519004755e-11,3.16914176850508,"ATP5F1C"
-8007.89799914754,8067.35054223602,-8.13715713160039,1.06709425163292e-13,5.02960156965776e-11,3.14829751588269,"ACTB"
-200.596441042623,231.72123068323,-8.13479382794199,1.08191963380338e-13,5.05589367335039e-11,3.14487067261857,"SLC35B1"
-4740.00474808197,5002.55056708075,-8.11132523502316,1.24069100261466e-13,5.74871021762345e-11,3.11083946438778,"TUBA1C"
-126.693752539344,138.765968875776,-8.10918745670919,1.25625375744745e-13,5.77190539398648e-11,3.10773942451304,"TMEM121B"
-5609.97765592951,6319.32813484472,-8.09699401254343,1.34879390593835e-13,6.1454422339316e-11,3.09005715030677,"GAPDH"
-528.183472144263,690.395860931677,-8.09096698637516,1.39700052758262e-13,6.3124796566595e-11,3.08131691268476,"METTL3"
-499.589596164262,692.059549347826,-8.0885747024862,1.41660525603105e-13,6.33905622912648e-11,3.07784765554257,"BIN1"
-8037.15586896722,11047.8628431056,-8.08743145439799,1.42607026279389e-13,6.33905622912648e-11,3.07618972733437,"GNAS"
-1472.03946668033,1937.87235742857,-8.08427737564773,1.45250945408703e-13,6.40451245179098e-11,3.0716156921776,"EIF1"
-209.861726318033,368.134336583851,-8.08031564164244,1.48640855900262e-13,6.41830517945693e-11,3.06587036130089,"MAPRE2"
-2658.24162993443,2985.44767921118,-8.07798915697615,1.50667985719813e-13,6.41830517945693e-11,3.0624964607863,"SLC17A7"
-1726.97014600984,1393.94723080745,-8.07736537449689,1.51216149504569e-13,6.41830517945693e-11,3.0615918405111,"TUBB3"
-7473.98060340983,8564.26299813665,-8.07711892957751,1.5143326349336e-13,6.41830517945693e-11,3.06123444151799,"ACTB"
-7643.25058772131,8606.22446322981,-8.07520876825046,1.53126601531949e-13,6.4401514913533e-11,3.05846428529224,"ACTB"
-7281.5681942623,6456.72503412422,-8.07156831873651,1.5640598307374e-13,6.527860400425e-11,3.05318480556723,"NELL2"
-967.634389872131,1150.54773068323,-8.07001307120693,1.57828121182719e-13,6.53731251944328e-11,3.05092933402906,"MRPS15"
-233.35472642623,190.475088859006,-8.06057249696977,1.66740027722892e-13,6.83607656746741e-11,3.03723819406428,"ITFG1"
-484.707315768852,602.560829291925,-8.05974794141906,1.67541702796641e-13,6.83607656746741e-11,3.03604237888772,"VPS16"
-2326.13569808197,2098.0883976646,-8.05483634510199,1.72396814554827e-13,6.98207098947050e-11,3.02891929094332,"TUBB3"
-1049.64472546885,892.995832236025,-8.03679788260857,1.91455282939202e-13,7.69692470198593e-11,3.00275853716111,"CADPS"
-8436.90300783607,7452.5111426087,-8.03197262373475,1.96898257355674e-13,7.85796512476022e-11,2.99576051406875,"GNAS"
-1272.48531910328,967.704929565217,-8.02463886690688,2.05466004766908e-13,8.14047377581935e-11,2.985124404994,"YWHAZ"
-177.830850279508,180.134979656522,-8.00101237127141,2.35661085943318e-13,9.21704783568436e-11,2.95085886253948,"CDK7"
-1518.41637157869,2169.14184453416,-8.00075701617155,2.36010369820907e-13,9.21704783568436e-11,2.95048852038636,"EIF1"
-6912.67856526229,8371.49332329192,-7.99817010555473,2.39577903341984e-13,9.29001550725034e-11,2.94673671809028,"TUBA1B"
-321.090649740983,414.43705136646,-7.99574900261268,2.4296518643875e-13,9.35501518911175e-11,2.94322538867456,"SAMM50"
-2546.60885891803,2253.18887204969,-7.99195432015905,2.48369959502153e-13,9.49624303201413e-11,2.93772195907843,"ATP5F1B"
-4500.04227172623,4591.83724279503,-7.98639907688695,2.56497951453892e-13,9.73890659426497e-11,2.92966520039822,"GAPDH"
-299.683586162951,420.155782229814,-7.9797586714147,2.66560268170678e-13,1.00511604567116e-10,2.92003466067759,"PITRM1"
-1872.46376439344,2299.6465267205,-7.9702901803244,2.81588260955787e-13,1.05450946354504e-10,2.90630263625875,"TOMM70"
-8164.41535752459,9701.80718906832,-7.96495277532277,2.90426614991092e-13,1.07291048477284e-10,2.89856191627818,"GAPDH"
-514.986266629508,448.624471875776,-7.96287902048202,2.93934298646012e-13,1.07858105895777e-10,2.89555440613105,"GOT1"
-7180.4855307705,8819.39197267081,-7.95773615708081,3.02815523954016e-13,1.10376258481239e-10,2.88809587935947,"TUBA1B"
-484.31950167541,542.453505217391,-7.9504482629298,3.15858302330659e-13,1.14367898542575e-10,2.87752656015302,"ANXA7"
-267.168025629508,287.519863167702,-7.94628783310195,3.23552107463893e-13,1.16382970234134e-10,2.87149291207867,"TAF9"
-538.909329879672,710.198008968944,-7.94233558910376,3.31032861096487e-13,1.17332080465187e-10,2.86576121733011,"GABBR1"
-271.797188683607,364.17599136646,-7.94061863310838,3.34335869435771e-13,1.17332080465187e-10,2.86327123280322,"TRAPPC5"
-149.808228154869,237.005162411801,-7.94061056435516,3.34351468627558e-13,1.17332080465187e-10,2.86325953125449,"INTS3"
-512.731604903279,562.407285459627,-7.94039180877299,3.34774660312192e-13,1.17332080465187e-10,2.86294228538142,"IDH3A"
-3768.52503927869,4512.25297111801,-7.92529507462855,3.65299364993809e-13,1.27214922172207e-10,2.84104882931898,"YWHAZ"
-994.854655859016,1144.37035596273,-7.92230222019001,3.71670592631249e-13,1.28556486058968e-10,2.83670862850748,"APLP2"
