"","logFC","AveExpr","t","P.Value","adj.P.Val","B","colour"
"216068_at",-14.1785537218361,20.0927564031056,-4.2304554699312,3.91510981129312e-05,0.000361463405829874,-2.14789528869841,"Downregulated"
"231042_s_at",-199.455196151606,163.278838282609,-4.23040787098626,3.91585464503627e-05,0.000361471134082995,-2.14794961803327,"Downregulated"
"207084_at",94.0800512354097,215.506371256522,4.23028712020684,3.91774477610638e-05,0.000361584563864984,-2.14808744091375,"Upregulated"
"243178_at",89.6859263571312,228.008502649068,4.23023171645269,3.91861231232212e-05,0.000361603591858585,-2.14815067694817,"Upregulated"
"226456_at",-46.3015928511475,75.4007623074534,-4.22974737353541,3.92620420623854e-05,0.000362243022234377,-2.14870346693485,"Downregulated"
"213567_at",-164.620024900656,329.209077689441,-4.22941132014047,3.93147999498867e-05,0.000362668582294594,-2.14908698674724,"Downregulated"
"239474_at",76.1020937762296,173.927362801242,4.22870462631432,3.94259672923321e-05,0.000363632719586414,-2.1498934333234,"Upregulated"
"209350_s_at",-113.293857723934,211.949022434783,-4.22852473639373,3.94543131426259e-05,0.000363832783112341,-2.15009870129502,"Downregulated"
"231131_at",-141.062292540984,225.747138770186,-4.22795694825052,3.95439095111616e-05,0.000364597513072978,-2.15074655272478,"Downregulated"
"243768_at",234.431066320328,568.554482782609,4.22789937779535,3.95530049433485e-05,0.000364619886238,-2.15081223794143,"Upregulated"
"225860_at",-87.6861120231147,218.835761596273,-4.22781613965997,3.95661591005555e-05,0.000364679660961375,-2.15090720774911,"Downregulated"
"203235_at",-35.4818814296721,89.7815914490683,-4.22763097372102,3.95954359826193e-05,0.000364887992979894,-2.15111846676256,"Downregulated"
"220214_at",-44.1832844985246,48.1508446385093,-4.22700940514689,3.96938650067267e-05,0.000365733412410311,-2.15182758055036,"Downregulated"
"51176_at",-242.994172736066,704.054762236025,-4.22694415543734,3.97042112636257e-05,0.000365767102078978,-2.15190201641684,"Downregulated"
